start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1731576887726,1731576887738,12,4318,4059,226.112899,0.976355,0.000754,0.011716,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576887738,1731576887739,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731576887739,1731576892225,4486,4318,4059,226.112899,0.976355,0.281762,4.379931,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576892225,1731576892228,3,4318,4059,226.112899,0.976355,0.000188,0.002929,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['bugle_datamodel_executor_wakelock' 'screen']
1731576892228,1731576892274,46,4318,4059,226.112899,0.976355,0.002889,0.044912,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,"['com.google.android.apps.messaging.shared.datamodel.action.FixupMessageStatusOnStartupAction'
 'bugle_datamodel_executor_wakelock' 'screen']"
1731576892274,1731576892284,10,4318,4059,226.112899,0.976355,0.000628,0.009764,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,"['bugle_datamodel_executor_wakelock'
 'com.google.android.apps.messaging.shared.datamodel.action.ProcessPendingMessagesAction'
 'screen']"
1731576892284,1731576892287,3,4318,4059,226.112899,0.976355,0.000188,0.002929,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,"['com.google.android.apps.messaging.shared.datamodel.action.ProcessPendingMessagesAction'
 'screen']"
1731576892287,1731576892321,34,4318,4059,226.112899,0.976355,0.002136,0.033196,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576892321,1731576892324,3,4318,4059,226.112899,0.976355,0.000188,0.002929,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['bugle_datamodel_executor_wakelock' 'screen']
1731576892324,1731576892326,2,4318,4059,226.112899,0.976355,0.000126,0.001953,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,"['com.google.android.apps.messaging.shared.datamodel.action.GenericWorkerQueueAction'
 'bugle_datamodel_executor_wakelock' 'screen']"
1731576892326,1731576892337,11,4318,4059,226.112899,0.976355,0.000691,0.010740,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['bugle_datamodel_executor_wakelock' 'screen']
1731576892337,1731576892338,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['bugle_datamodel_executor_wakelock' 'screen']
1731576892338,1731576900002,7664,4318,4059,226.112899,0.976355,0.481369,7.482789,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576900002,1731576900003,1,4318,4059,226.112899,0.976355,0.000063,0.000976,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*alarm*:TIME_TICK' 'screen']
1731576900003,1731576960009,60006,4318,4059,226.112899,0.976355,3.768925,58.587188,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576960009,1731576960013,4,4318,4059,226.112899,0.976355,0.000251,0.003905,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*alarm*:TIME_TICK' 'screen']
1731576960013,1731576960254,241,4318,4059,226.112899,0.976355,0.015137,0.235302,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576960254,1731576977804,17550,4296,4051,140.369640,0.603028,0.684302,10.583141,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731576977804,1731576981683,3879,4296,4051,140.369640,0.603028,0.151248,2.339146,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,screen
1731576981683,1731576981706,23,4296,4051,140.369640,0.603028,0.000897,0.013870,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['*walarm*:com.xiaomi.push.PING_TIMER' 'screen']
1731576981706,1731576982126,420,4296,4051,140.369640,0.603028,0.016376,0.253272,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,screen
1731576982126,1731576982129,3,4296,4051,140.369640,0.603028,0.000117,0.001809,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['*telephony-radio*' 'screen']
